HGNC_ID	Approved_symbol	Approved_name	RefSeq_IDs	UniProt_ID	Ensembl_ID
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	NG_005041		ENSG00000274099
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	NG_022122		ENSG00000261524
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	NG_022102		ENSG00000260053
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	NM_003742	O95342	ENSG00000073734
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	NM_004996	P33527	ENSG00000103222
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	NM_000392	Q92887	ENSG00000023839
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	NM_020038	O15438	ENSG00000108846
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	NM_005845	O15439	ENSG00000125257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	NM_005688	O15440	ENSG00000114770
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1			ENSG00000223882
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6		O95255	ENSG00000091262
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	NR_003569		ENSG00000256340
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	NR_023387		ENSG00000255277
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	NM_000352	Q09428	ENSG00000006071
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	NM_005691	O60706	ENSG00000069431
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	NM_033450	Q5T3U5	ENSG00000124574
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	NM_032583	Q96J66	ENSG00000121270
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	NM_033226	Q96J65	ENSG00000140798
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)			ENSG00000243064
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	NM_000033	P33897	ENSG00000101986
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2			ENSG00000215151
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			ENSG00000261233
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			ENSG00000225293
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			ENSG00000214330
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	NM_005164	Q9UBJ2	ENSG00000173208
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	NM_002858	P28288	ENSG00000117528
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	NM_005050	O14678	ENSG00000119688
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	NM_002940	P61221	ENSG00000164163
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1		Q8NE71	ENSG00000204574
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript			
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	NM_005692	Q9UG63	
HGNC:54751	ABCF2-H2BE1	ABCF2-H2BE1 readthrough			
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			ENSG00000242159
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			ENSG00000228769
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	NM_018358	Q9NUQ8	ENSG00000161204
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	NM_207174	P45844	ENSG00000160179
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	NM_004827	Q9UNQ0	ENSG00000118777
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	NM_022169	Q9H172	ENSG00000172350
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	NM_022436	Q9H222	ENSG00000138075
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	NM_022437	Q9H221	ENSG00000143921
HGNC:17553	ABHD1	abhydrolase domain containing 1	NM_032604	Q96SE0	ENSG00000143994
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase		P08910	ENSG00000140526
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase		Q8WU67	ENSG00000158201
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		Q8TB40	ENSG00000100439
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	NM_016006	Q8WTS1	ENSG00000011198
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	NM_020676	Q9BV23	ENSG00000163686
HGNC:23759	ABHD8	abhydrolase domain containing 8	NM_024527	Q96I13	ENSG00000127220
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	NM_018394	Q9NUJ1	ENSG00000144827
HGNC:16407	ABHD11	abhydrolase domain containing 11		Q8NFV4	ENSG00000106077
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	NR_026690		ENSG00000225969
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	NM_015600	Q8N2K0	ENSG00000100997
HGNC:19837	ABHD12B	abhydrolase domain containing 12B		Q7Z5M8	ENSG00000131969
HGNC:20293	ABHD13	abhydrolase domain containing 13	NM_032859	Q7L211	ENSG00000139826
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	NM_015407	Q9BUJ0	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough			ENSG00000114786
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	NM_032750	Q96IU4	ENSG00000114779
HGNC:26971	ABHD15	abhydrolase domain containing 15	NM_198147	Q6UXT9	ENSG00000168792
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1			ENSG00000264031
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase		O95870	ENSG00000204427
HGNC:16128	ABHD16B	abhydrolase domain containing 16B		Q9H3Z7	ENSG00000183260
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	NM_031213	Q96GS6	ENSG00000129968
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	NG_011738		ENSG00000198658
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	XR_041784		ENSG00000250536
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4			ENSG00000229107
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5			ENSG00000263366
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6			ENSG00000226981
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7			ENSG00000260864
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8			ENSG00000260540
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9			ENSG00000261536
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	NM_016014	Q5VST6	ENSG00000107362
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	NM_021214	Q6PCB6	ENSG00000136379
HGNC:26111	ABHD18	abhydrolase domain containing 18	NM_001039717	Q0P651	ENSG00000164074
HGNC:11320	ABI1	abl interactor 1	NM_005470	Q8IZP0	ENSG00000136754
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	NG_002531		ENSG00000271484
HGNC:24011	ABI2	abl interactor 2	NM_005759	Q9NYB9	ENSG00000138443
HGNC:29859	ABI3	ABI family member 3	NM_016428	Q9P2A4	ENSG00000108798
HGNC:17265	ABI3BP	ABI family member 3 binding protein		Q7Z7G0	ENSG00000154175
HGNC:1364	ABITRAM	actin binding transcription modulator	NM_017832	Q9NX38	ENSG00000119328
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	NG_011392		ENSG00000251106
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NM_007313	P00519	ENSG00000097007
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	NM_005158	P42684	ENSG00000143322
HGNC:78	ABLIM1	actin binding LIM protein 1		O14639	ENSG00000099204
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	NM_001130083	Q6H8Q1	ENSG00000163995
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	NM_014945	O94929	ENSG00000173210
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	NM_020469	P16442	ENSG00000175164
HGNC:81	ABR	ABR activator of RhoGEF and GTPase		Q12979	ENSG00000159842
HGNC:30655	ABRA	actin binding Rho activating protein	NM_139166	Q8N0Z2	ENSG00000174429
HGNC:21230	ABRACL	ABRA C-terminal like	NM_021243	Q9P1F3	ENSG00000146386
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	NM_139076	Q6UWZ7	ENSG00000163322
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	NM_032182	Q15018	ENSG00000165660
HGNC:17369	ABT1	activator of basal transcription 1		Q9ULW3	ENSG00000146109
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	NG_025142		ENSG00000250496
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	NM_172027	Q969K4	ENSG00000114626
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	NM_145804	Q8N961	ENSG00000166016
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	NM_001607	P09110	ENSG00000060971
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	NM_006111	P42765	ENSG00000167315
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	NM_198836	Q13085	ENSG00000278540
HGNC:85	ACACB	acetyl-CoA carboxylase beta	NM_001093	O00763	ENSG00000076555
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	NM_014384	Q9UKU7	ENSG00000151498
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	NM_014049	Q9H845	ENSG00000177646
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	NM_025247	Q6JQN1	ENSG00000111271
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	NM_032169	Q709F0	ENSG00000240303
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	NM_001608	P28330	ENSG00000115361
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		P11310	ENSG00000117054
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	NM_000017	P16219	ENSG00000122971
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	NM_001609	P45954	ENSG00000196177
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	NM_000018	P49748	ENSG00000072778
HGNC:319	ACAN	aggrecan	NM_001135	P16112	ENSG00000157766
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	NM_014716	Q15027	ENSG00000072818
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	NM_012287	Q15057	ENSG00000114331
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1			ENSG00000229325
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	NM_030649	Q96P50	ENSG00000131584
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	NM_000019	P24752	ENSG00000075239
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	NM_005891	Q9BWD1	ENSG00000120437
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	NM_022735	Q9H3P7	ENSG00000182827
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	NR_146443		ENSG00000234478
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	NM_024722	Q8NC06	ENSG00000181513
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	NM_145698	Q5T8D3	ENSG00000107897
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	NM_032360	Q9BR61	ENSG00000230124
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		Q8N6N7	ENSG00000176244
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	NM_032592	Q96QU6	ENSG00000110455
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	NM_001031854	Q4AC99	ENSG00000205126
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	NM_022914	Q96AP0	ENSG00000102977
HGNC:2707	ACE	angiotensin I converting enzyme	NM_000789	P12821	ENSG00000159640
HGNC:13557	ACE2	angiotensin I converting enzyme 2		Q9BYF1	ENSG00000130234
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene			ENSG00000224353
HGNC:18356	ACER1	alkaline ceramidase 1	NM_133492	Q8TDN7	ENSG00000167769
HGNC:23675	ACER2	alkaline ceramidase 2	NM_001010887	Q5QJU3	ENSG00000177076
HGNC:54674	ACER2P1	ACER2 pseudogene 1	NG_030142		ENSG00000180105
HGNC:16066	ACER3	alkaline ceramidase 3	NM_018367	Q9NUN7	ENSG00000078124
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	NM_015831	P22303	ENSG00000087085
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	NM_014977	Q9UKV3	ENSG00000100813
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	NM_002036	Q16570	ENSG00000213088
HGNC:1565	ACKR2	atypical chemokine receptor 2	NM_001296	O00590	ENSG00000144648
HGNC:23692	ACKR3	atypical chemokine receptor 3	NM_020311	P25106	ENSG00000144476
HGNC:1611	ACKR4	atypical chemokine receptor 4	NM_016557	Q9NPB9	ENSG00000129048
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	XM_208346		ENSG00000225415
HGNC:115	ACLY	ATP citrate lyase	NM_001096	P53396	ENSG00000131473
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		Q8TDX5	ENSG00000153086
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene			ENSG00000227411
HGNC:117	ACO1	aconitase 1	NM_002197	P21399	ENSG00000122729
HGNC:118	ACO2	aconitase 2	NM_001098	Q99798	ENSG00000100412
HGNC:33904	ACOD1	aconitate decarboxylase 1	NM_001258406	A6NK06	ENSG00000102794
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	NM_001037161	Q86TX2	ENSG00000184227
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	NM_006821	P49753	ENSG00000119673
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	NM_152331	Q8N9L9	ENSG00000177465
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	NM_001037162	Q3I5F7	ENSG00000205669
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	NM_007274	O00154	ENSG00000097021
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	NM_183386	O14734	ENSG00000101473
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	NM_012332	Q9Y305	ENSG00000123130
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	NM_015547	Q8WXI4	ENSG00000162390
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	NM_130767	Q8WYK0	ENSG00000172497
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	NM_018473	Q9NPJ3	ENSG00000112304
HGNC:119	ACOX1	acyl-CoA oxidase 1		Q15067	ENSG00000161533
HGNC:120	ACOX2	acyl-CoA oxidase 2	NM_003500	Q99424	ENSG00000168306
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl		O15254	ENSG00000087008
HGNC:25621	ACOXL	acyl-CoA oxidase like	NM_018308	Q9NUZ1	ENSG00000153093
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	NR_122074		ENSG00000204581
HGNC:122	ACP1	acid phosphatase 1	NM_004300	P24666	ENSG00000143727
HGNC:123	ACP2	acid phosphatase 2, lysosomal	NM_001610	P11117	ENSG00000134575
HGNC:125	ACP3	acid phosphatase 3	NM_001099	P15309	ENSG00000014257
HGNC:14376	ACP4	acid phosphatase 4	NM_033068	Q9BZG2	ENSG00000142513
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant		P13686	ENSG00000102575
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	NM_016361	Q9NPH0	ENSG00000162836
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	NM_001004318	Q6ZNF0	ENSG00000183760
HGNC:126	ACR	acrosin	NM_001097	P10323	ENSG00000100312
HGNC:17195	ACRBP	acrosin binding protein	NM_032489	Q8NEB7	ENSG00000111644
HGNC:54745	ACRP1	ACR pseudogene 1	NG_021518		
HGNC:127	ACRV1	acrosomal vesicle protein 1	NM_001612	P26436	ENSG00000134940
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	NM_015162	Q96GR2	ENSG00000103740
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	NM_030924	Q5FVE4	ENSG00000130377
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	NM_025149	Q96CM8	ENSG00000167107
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	NM_174917	Q4G176	ENSG00000176715
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	NM_001995	P33121	ENSG00000151726
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	NM_004457	O95573	ENSG00000123983
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1			ENSG00000234193
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	NM_004458	O60488	ENSG00000068366
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	NM_016234	Q9ULC5	ENSG00000197142
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	NM_015256	Q9UKU0	ENSG00000164398
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1			ENSG00000223548
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	NM_052956	Q08AH1	ENSG00000166743
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	NM_001308172	Q08AH3	ENSG00000183747
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	NM_182617	Q68CK6	ENSG00000066813
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	NM_005622	Q53FZ2	ENSG00000005187
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	NM_001080454	P0C7M7	ENSG00000215009
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	NM_017888	Q6NUN0	ENSG00000183549
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	NG_026352		ENSG00000260762
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	NM_207321	Q6P461	ENSG00000173124
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	NM_032501	Q9NUB1	ENSG00000154930
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	NM_018677	Q9NR19	ENSG00000131069
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	NM_024560	Q9H6R3	ENSG00000111058
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	NM_001100	P68133	ENSG00000143632
HGNC:130	ACTA2	actin alpha 2, smooth muscle	NM_001613	P62736	ENSG00000107796
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	NR_125373		ENSG00000180139
HGNC:132	ACTB	actin beta	NM_001101	P60709	ENSG00000075624
HGNC:17780	ACTBL2	actin beta like 2	NM_001017992	Q562R1	ENSG00000169067
HGNC:134	ACTBP1	ACTB pseudogene 1	NG_022596		ENSG00000229145
HGNC:135	ACTBP2	ACTB pseudogene 2	NG_003019		ENSG00000213763
HGNC:136	ACTBP3	ACTB pseudogene 3			
HGNC:137	ACTBP4	ACTB pseudogene 4			
HGNC:139	ACTBP6	ACTB pseudogene 6	NG_008793		ENSG00000203413
HGNC:140	ACTBP7	ACTB pseudogene 7			ENSG00000185607
HGNC:141	ACTBP8	ACTB pseudogene 8	NG_000840		ENSG00000220267
HGNC:142	ACTBP9	ACTB pseudogene 9	NG_003162		ENSG00000266920
HGNC:31819	ACTBP10	ACTB pseudogene 10			
HGNC:33971	ACTBP11	ACTB pseudogene 11			ENSG00000188460
HGNC:150	ACTBP12	ACTB pseudogene 12	NG_026958		ENSG00000233125
HGNC:44626	ACTBP13	ACTB pseudogene 13			ENSG00000234667
HGNC:45086	ACTBP14	ACTB pseudogene 14	NG_022182		ENSG00000229001
HGNC:55065	ACTBP15	ACTB pseudogene 15			
HGNC:143	ACTC1	actin alpha cardiac muscle 1	NM_005159	P68032	ENSG00000159251
HGNC:51491	ACTE1P	actin epsilon 1, pseudogene			
HGNC:144	ACTG1	actin gamma 1	NM_001614	P63261	ENSG00000184009
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	NG_001068		ENSG00000178631
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	NG_004636		ENSG00000229129
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	NG_000842		ENSG00000215388
